,DRS,   ,GVE,Município,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,Total
2,Araçatuba,XI,ARAÇATUBA,350420 Auriflama,0,0,0,0,2,1,2,3,8,7,13,26,37,25,21,28,61,234
6,Bauru,XV,BAURU,350430 Avaí,0,0,0,1,1,1,20,13,3,13,20,10,5,2,1,0,0,90
2,Araçatuba,XI,ARAÇATUBA,350440 Avanhandava,0,1,1,2,11,7,16,5,1,2,3,9,22,7,13,3,2,105
6,Bauru,XVI,BOTUCATU,350450 Avaré,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,6
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,350460 Bady Bassitt,4,11,19,28,28,50,36,31,15,16,5,3,9,5,4,3,1,268
6,Bauru,XV,BAURU,350470 Balbinos,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,350480 Bálsamo,5,9,16,8,15,35,23,12,11,9,7,17,19,26,25,21,24,282
17,Taubaté,XXXIII,TAUBATÉ,350490 Bananal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,350500 Barão de Antonina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Araçatuba,XI,ARAÇATUBA,350510 Barbosa,0,0,0,0,0,0,0,0,0,3,2,5,11,11,4,0,0,36
6,Bauru,XV,BAURU,350520 Bariri,0,0,0,0,0,0,1,2,1,4,3,11,8,0,0,0,0,30
6,Bauru,XV,BAURU,350530 Barra Bonita,0,0,0,0,0,2,1,6,4,6,2,6,5,2,0,0,0,34
16,Sorocaba,XXXII,ITAPEVA,350535 Barra do Chapéu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Registro,XXIII,REGISTRO,350540 Barra do Turvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Barretos,XIV,BARRETOS,350550 Barretos,106,99,183,269,248,307,250,237,261,185,225,223,271,368,381,305,248,4166
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,350560 Barrinha,0,0,1,0,1,1,0,0,3,3,0,5,6,10,2,1,0,33
1,São Paulo,X,OSASCO,350570 Barueri,0,0,0,0,0,1,1,0,0,0,1,1,5,2,3,1,0,15
9,Marília,XIX,MARÍLIA,350580 Bastos,0,1,0,0,0,0,0,1,0,0,4,1,2,1,6,3,10,29
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,350590 Batatais,0,0,1,4,6,8,27,26,16,18,24,24,38,28,50,39,24,333
6,Bauru,XV,BAURU,350600 Bauru,193,427,647,1010,1055,1358,1572,1725,1585,1932,2188,1854,1528,827,53,8,4,17966
5,Barretos,XIV,BARRETOS,350610 Bebedouro,3,4,1,7,8,9,13,17,10,15,18,18,34,39,36,36,4,272
2,Araçatuba,XI,ARAÇATUBA,350620 Bento de Abreu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
9,Marília,XIII,ASSIS,350630 Bernardino de Campos,0,0,0,0,2,1,4,12,4,8,15,6,4,2,1,0,1,60
4,Baixada Santista,XXV,SANTOS,350635 Bertioga,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,7
2,Araçatuba,XI,ARAÇATUBA,350640 Bilac,12,17,33,57,91,105,83,83,47,28,12,20,22,12,10,10,14,656
2,Araçatuba,XI,ARAÇATUBA,350650 Birigui,6,9,12,42,63,91,105,113,173,219,325,345,530,472,563,268,94,3430
1,São Paulo,VIII,MOGI DAS CRUZES,350660 Biritiba-Mirim,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,8,16
3,Araraquara,XII,ARARAQUARA,350670 Boa Esperança do Sul,0,0,0,0,0,2,4,6,9,11,11,16,16,22,33,43,34,207
6,Bauru,XV,BAURU,350680 Bocaina,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,5
6,Bauru,XVI,BOTUCATU,350690 Bofete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,350700 Boituva,0,0,0,0,0,0,0,3,1,6,1,19,21,14,17,24,30,136
7,Campinas,XVII,CAMPINAS,350710 Bom Jesus dos Perdões,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXII,ITAPEVA,350715 Bom Sucesso de Itararé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIII,ASSIS,350720 Borá,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,Bauru,XV,BAURU,350730 Boracéia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,Araraquara,XII,ARARAQUARA,350740 Borborema,0,0,0,0,0,0,1,0,2,7,6,14,30,37,51,71,70,289
6,Bauru,XV,BAURU,350745 Borebi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bauru,XVI,BOTUCATU,350750 Botucatu,1,0,0,0,0,0,0,1,0,1,4,9,2,2,0,1,0,21
7,Campinas,XVII,CAMPINAS,350760 Bragança Paulista,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4
2,Araçatuba,XI,ARAÇATUBA,350770 Braúna,0,0,0,0,2,3,0,0,0,1,3,1,1,1,3,1,0,16
2,Araçatuba,XI,ARAÇATUBA,350775 Brejo Alegre,0,0,0,0,0,0,0,0,1,0,2,3,1,1,0,0,0,8
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,350780 Brodósqui,7,20,33,44,36,110,68,87,68,51,35,52,40,55,37,60,39,842
6,Bauru,XV,BAURU,350790 Brotas,0,0,0,1,2,7,4,2,5,11,9,13,12,0,8,13,1,88
16,Sorocaba,XXXII,ITAPEVA,350800 Buri,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,5
2,Araçatuba,XI,ARAÇATUBA,350810 Buritama,0,0,0,1,1,6,1,5,4,7,0,10,7,1,0,0,1,44
8,Franca,XVIII,FRANCA,350820 Buritizal,9,6,8,10,24,22,12,14,19,3,5,2,2,3,1,0,1,141
6,Bauru,XV,BAURU,350830 Cabrália Paulista,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,4
7,Campinas,XVII,CAMPINAS,350840 Cabreúva,0,1,1,0,0,1,0,0,1,0,2,1,0,1,0,1,0,9
17,Taubaté,XXVII,SÃO JOSÉ DOS CAMPOS,350850 Caçapava,0,0,0,0,1,1,0,2,2,4,10,13,6,9,29,26,23,126
17,Taubaté,XXXIII,TAUBATÉ,350860 Cachoeira Paulista,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,2,3,11
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,350870 Caconde,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,Bauru,XV,BAURU,350880 Cafelândia,0,0,0,0,1,1,3,4,0,1,7,5,6,0,0,2,0,30
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,350890 Caiabu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,São Paulo,IX,FRANCO DA ROCHA,350900 Caieiras,0,0,0,0,0,0,0,0,0,1,2,2,4,1,0,1,0,11
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,350910 Caiuá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,São Paulo,IX,FRANCO DA ROCHA,350920 Cajamar,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,4
12,Registro,XXIII,REGISTRO,350925 Cajati,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,Barretos,XIV,BARRETOS,350930 Cajobi,0,0,0,0,0,1,1,4,0,1,1,1,7,2,3,0,1,22
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,350940 Cajuru,0,0,0,0,0,0,1,4,0,6,2,0,7,3,0,0,0,23
16,Sorocaba,XXXI,SOROCABA,350945 Campina do Monte Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Campinas,XVII,CAMPINAS,350950 Campinas,8,16,7,24,23,62,105,164,210,302,525,969,1329,1541,1999,2002,2026,11312
7,Campinas,XVII,CAMPINAS,350960 Campo Limpo Paulista,0,0,0,0,1,0,1,2,1,2,4,1,3,1,5,1,8,30
17,Taubaté,XXXIII,TAUBATÉ,350970 Campos do Jordão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Marília,XIX,MARÍLIA,350980 Campos Novos Paulista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Registro,XXIII,REGISTRO,350990 Cananéia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Taubaté,XXXIII,TAUBATÉ,350995 Canas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,Marília,XIII,ASSIS,351000 Cândido Mota,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,1,6,14
3,Araraquara,XII,ARARAQUARA,351010 Cândido Rodrigues,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,0,8
9,Marília,XIII,ASSIS,351015 Canitar,0,0,0,0,0,0,0,3,1,0,5,9,1,1,0,1,0,21
16,Sorocaba,XXXI,SOROCABA,351020 Capão Bonito,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,7
16,Sorocaba,XXXI,SOROCABA,351030 Capela do Alto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,Piracicaba,XX,PIRACICABA,351040 Capivari,0,0,0,0,1,4,1,4,2,2,2,8,5,14,11,17,13,84
17,Taubaté,XXVIII,CARAGUATATUBA,351050 Caraguatatuba,0,1,0,1,1,4,8,15,13,10,17,36,72,71,244,201,62,756
1,São Paulo,X,OSASCO,351060 Carapicuíba,0,1,1,0,0,3,1,6,12,12,19,24,38,23,16,8,4,168
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351070 Cardoso,3,5,9,11,14,17,28,17,5,10,15,26,13,7,32,57,24,293
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,351080 Casa Branca,0,0,0,0,1,2,0,4,7,6,5,2,2,2,7,32,40,110
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,351090 Cássia dos Coqueiros,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
2,Araçatuba,XI,ARAÇATUBA,351100 Castilho,28,24,47,90,71,105,120,60,28,29,33,33,47,47,34,33,36,865
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351110 Catanduva,4,3,5,12,14,27,29,25,23,42,40,60,108,75,88,86,53,694
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351120 Catiguá,0,0,0,1,7,13,10,5,4,16,9,26,31,37,33,20,1,213
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351130 Cedral,2,1,0,3,8,11,28,22,21,7,11,15,9,12,11,3,0,164
6,Bauru,XVI,BOTUCATU,351140 Cerqueira César,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sorocaba,XXXI,SOROCABA,351150 Cerquilho,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,8
16,Sorocaba,XXXI,SOROCABA,351160 Cesário Lange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Piracicaba,XX,PIRACICABA,351170 Charqueada,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4
2,Araçatuba,XI,ARAÇATUBA,351190 Clementina,0,0,0,0,3,0,0,4,0,4,4,0,1,1,1,0,0,18
5,Barretos,XIV,BARRETOS,351200 Colina,0,1,2,0,0,1,1,3,6,3,1,3,3,9,0,0,0,33
5,Barretos,XIV,BARRETOS,351210 Colômbia,1,1,1,10,5,7,9,2,0,2,2,0,0,0,0,0,0,40
10,Piracicaba,XX,PIRACICABA,351220 Conchal,0,0,0,0,1,0,0,0,0,1,0,0,2,3,4,4,4,19
6,Bauru,XVI,BOTUCATU,351230 Conchas,0,2,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,8
10,Piracicaba,XX,PIRACICABA,351240 Cordeirópolis,0,0,0,0,1,0,0,0,3,2,1,7,8,3,2,5,2,34
2,Araçatuba,XI,ARAÇATUBA,351250 Coroados,1,0,2,1,4,2,8,4,9,8,7,4,7,7,10,10,5,89
6,Bauru,XVI,BOTUCATU,351260 Coronel Macedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Piracicaba,XX,PIRACICABA,351270 Corumbataí,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,Campinas,XVII,CAMPINAS,351280 Cosmópolis,0,0,0,1,0,0,0,0,0,2,0,4,3,3,2,2,0,17
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351290 Cosmorama,0,2,0,2,3,11,18,5,4,2,8,6,11,6,1,0,1,80
1,São Paulo,X,OSASCO,351300 Cotia,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,3,2,11
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,351310 Cravinhos,0,0,0,2,0,3,5,3,3,2,1,3,4,9,1,4,5,45
8,Franca,XVIII,FRANCA,351320 Cristais Paulista,0,0,0,0,0,0,2,2,2,3,0,3,0,0,0,0,0,12
9,Marília,XIII,ASSIS,351330 Cruzália,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6
17,Taubaté,XXXIII,TAUBATÉ,351340 Cruzeiro,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,8,12,29
4,Baixada Santista,XXV,SANTOS,351350 Cubatão,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
17,Taubaté,XXXIII,TAUBATÉ,351360 Cunha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,351370 Descalvado,0,0,0,0,1,1,0,0,0,0,1,1,4,4,3,5,2,22
1,São Paulo,VII,SANTO ANDRÉ,351380 Diadema,0,1,1,0,1,2,3,4,5,3,3,6,1,6,7,0,1,44
15,São José do Rio Preto,XXX,JALES,351385 Dirce Reis,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,5
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,351390 Divinolândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,351400 Dobrada,0,0,0,2,0,2,1,4,2,7,7,26,28,36,39,43,34,231
6,Bauru,XV,BAURU,351410 Dois Córregos,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,0,8
15,São José do Rio Preto,XXX,JALES,351420 Dolcinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Araraquara,XII,ARARAQUARA,351430 Dourado,0,0,1,1,0,0,0,1,2,1,3,0,0,0,2,2,0,13
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,351440 Dracena,2,3,5,5,8,11,14,15,16,28,27,44,54,46,47,34,10,369
6,Bauru,XV,BAURU,351450 Duartina,0,0,0,0,6,13,21,35,9,16,18,15,12,0,0,3,5,153
13,Riberão Preto,XXIV,RIBEIRÃO PRETO,351460 Dumont,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,7
9,Marília,XIX,MARÍLIA,351470 Echaporã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Registro,XXIII,REGISTRO,351480 Eldorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,Piracicaba,XX,PIRACICABA,351490 Elias Fausto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351492 Elisiário,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,0,0,8
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351495 Embaúba,0,0,0,0,0,0,2,5,4,8,7,3,5,10,11,3,1,59
1,São Paulo,X,OSASCO,351500 Embu,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,3,3,12
1,São Paulo,X,OSASCO,351510 Embu-Guaçu,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,351512 Emilianópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Piracicaba,XX,PIRACICABA,351515 Engenheiro Coelho,0,0,0,0,0,0,2,1,1,6,7,12,17,26,17,21,22,132
14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,351518 Espírito Santo do Pinhal,1,0,1,0,0,2,0,0,0,0,0,1,4,0,2,0,1,12
9,Marília,XIII,ASSIS,351519 Espírito Santo do Turvo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,São José do Rio Preto,XXX,JALES,351520 Estrela d'Oeste,0,0,0,1,7,2,7,9,6,7,10,6,14,8,5,10,1,93
11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,351530 Estrela do Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,351535 Euclides da Cunha Paulista,0,0,0,0,0,0,0,0,0,0,3,5,8,5,2,2,7,32
6,Bauru,XVI,BOTUCATU,351540 Fartura,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,10,22,39
15,São José do Rio Preto,XXX,JALES,351550 Fernandópolis,35,47,52,99,149,215,285,291,259,234,287,298,247,196,6,2,1,2703
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351560 Fernando Prestes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9,Marília,XIX,MARÍLIA,351565 Fernão,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1,São Paulo,VIII,MOGI DAS CRUZES,351570 Ferraz de Vasconcelos,0,0,0,1,0,0,0,0,0,1,0,1,1,1,4,4,1,14
11,Presidente Prudente,XXII,PRESIDENTE VENCESLAU,351580 Flora Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351590 Floreal,0,0,0,0,0,0,0,1,0,3,3,12,4,1,0,0,0,24
9,Marília,XIX,MARÍLIA,351600 Flórida Paulista,0,1,2,5,4,14,17,5,6,9,13,10,16,3,11,17,28,161
9,Marília,XIII,ASSIS,351610 Florínia,0,0,0,0,0,0,19,27,19,43,21,24,4,5,4,2,4,172
8,Franca,XVIII,FRANCA,351620 Franca,36,47,75,117,4,2,3,1,2,2,0,1,1,1,1,1,0,294
1,São Paulo,IX,FRANCO DA ROCHA,351630 Francisco Morato,0,0,1,0,0,1,1,2,3,1,2,5,8,5,3,1,0,33
1,São Paulo,IX,FRANCO DA ROCHA,351640 Franco da Rocha,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,6
2,Araçatuba,XI,ARAÇATUBA,351650 Gabriel Monteiro,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
9,Marília,XIX,MARÍLIA,351660 Gália,0,0,0,0,0,0,1,5,5,5,10,8,6,8,10,1,0,59
9,Marília,XIX,MARÍLIA,351670 Garça,0,2,0,1,2,4,9,4,2,7,3,5,6,1,8,15,4,73
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351680 Gastão Vidigal,0,1,1,1,2,4,10,9,3,1,6,6,7,4,2,1,4,62
3,Araraquara,XII,ARARAQUARA,351685 Gavião Peixoto,2,1,22,12,21,33,16,32,22,16,6,14,15,3,12,4,8,239
15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,351690 General Salgado,0,0,2,2,3,4,2,3,6,4,2,4,6,4,4,6,3,55
6,Bauru,XV,BAURU,351700 Getulina,0,0,0,0,1,0,0,2,2,1,7,9,10,14,7,6,3,62
2,Araçatuba,XI,ARAÇATUBA,351710 Glicério,0,0,0,0,0,1,2,3,3,3,4,5,5,6,2,1,1,36
6,Bauru,XV,BAURU,351720 Guaiçara,6,5,10,6,5,9,14,19,7,4,13,16,20,16,36,40,34,260
9,Marília,XIX,MARÍLIA,351730 Guaimbê,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,6
5,Barretos,XIV,BARRETOS,351740 Guaíra,6,2,13,20,33,74,75,77,64,84,85,116,122,100,116,75,69,1131
